;;;→Unit;kJ/100g;kJ/100g;kcal/100 g;kcal/100 g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;RE (µg/100g);µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;alfa-TE;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;NE;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;µg/100g;mg/100g;µg/100g;mg/100g;µg/100g;µg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;%;No Unit;No Unit;g/ml;No Unit;;;
Helleflynder, rå;Halibut, atlantic, raw;711;711;442;397;104;94;20,6;17,1;20,6;2,6;2,6;0,0;0,0;1,3;0,0;0,2;1,0;25,5;74,5;33,2;33,0;1,0;;9,00;9,00;;;;0,70;0,70;;;;;0,00;;;;;;;;;0,0;0,04;;0,05;7,30;4,00;0,42;0,28;5,00;12;4;0,96;0,00;0,00;;64,0;398,0;15,0;23,0;;0,5;0,2;0,5;0,0;1,0;4,0;;60,0;;;;220;0,1;;;0,10;;;;;;;;721;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,03;;0,14;0,00;0,04;0,00;;0,00;;0,00;;0,00;;0,04;;0,00;0,11;;;0,05;;0,00;0,00;0,01;;;;;;0,01;;0,01;;0,01;0,00;0,00;0,00;;;0,08;;;;;0,02;;0,29;;;0,06;0,21;0,20;0,42;;;0,89;0,41;0,01;60;3,30;1055;1615;1945;626;145;791;857;857;198;1187;1220;494;1187;2076;3065;890;692;923;;;8767;11055;;;61,8;;;0,1;0;;;0,1;20,0;6,25;0,700;;;72;Mellemfed fisk;Somewhat oily fish
Helleflynder, røget;Halibut, atlantic, smoked;700;700;442;397;104;94;20,6;17,1;20,6;2,6;2,6;0,0;0,0;1,3;0,0;0,2;1,0;25,5;74,5;33,2;33,0;1,0;;9,00;9,00;;;;1,80;1,80;;;;;0,00;;;;;;;;;0,0;0,06;;0,04;3,30;;0,42;0,28;5,00;12;4;0,65;0,00;0,00;;64,0;398,0;20,0;23,0;;0,5;0,2;0,5;0,0;1,0;4,0;;;;;;220;0,1;;;0,10;;;;;;;;726;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,03;;0,14;0,00;0,04;0,00;;0,00;;0,00;;0,00;;0,04;;0,00;0,11;;;0,05;;0,00;0,00;0,01;;;;;;0,01;;0,01;;0,01;0,00;0,00;0,00;;;0,08;;;;;0,02;;0,29;;;0,06;0,21;0,20;0,42;;;0,89;0,41;0,01;60;3,30;1055;1615;1945;626;145;791;857;857;198;1187;1220;494;1187;2076;3065;890;692;923;;;8770;11070;;;89;;;0,1;0;;;0,1;10,0;6,25;0,700;;;79;Fiskeprodukter;Fish products
Jomfruhummer, rå;Norway lobster, raw;655;655;393;395;93;93;19,6;17,3;19,6;0,7;0,7;0,8;0,0;1,3;0,0;0,9;2,4;24,0;76,0;0,0;0,0;0,0;;0,00;0,00;;;;1,50;1,50;;;;;0,00;;;;;;;;;0,0;0,13;;0,01;5,66;2,00;0,21;1,50;5,00;17;7;0,90;3,00;3,00;;341,0;213,0;48,0;67,5;;2,0;0,7;4,6;0,0;2,7;23,0;;55,0;;;;144;;;;240,00;;6,70;8,75;1064,75;6,05;4,75;;816;;;;;;;;;;0,00;0,00;0,00;;;0,80;;;;;;;;;;;;;;;;;;;;;0,00;;0,01;0,01;0,11;0,01;0,05;0,00;;0,00;;;;0,00;;0,06;0,00;;0,18;;;0,04;;0,04;;;;;;;;0,04;;0,05;;;;0,00;;;0,00;0,25;;;;;0,01;;0,12;;;;0,20;0,32;0,48;;;1,00;0,44;0,04;95;3,14;909;1693;1537;564;251;784;721;909;220;941;1631;376;1317;2132;3073;1286;847;1004;;;7930;12260;;;70,3;;;;;;;;30,0;6,25;0,770;;;76;Skaldyr og produkter heraf;Shellfish and their products
Hummer, rå;Lobster, raw;654;654;393;395;93;93;19,6;17,3;19,6;0,7;0,7;0,8;0,0;1,3;0,0;1,3;2,4;24,0;76,0;0,0;0,0;0,0;;0,00;0,00;;;;1,50;1,50;;;;;0,00;;;;;;;;;0,0;0,09;;0,05;5,66;2,00;0,21;1,50;5,00;17;7;6,30;3,00;3,00;;538,0;138,0;48,0;29,0;;0,3;0,7;4,6;0,0;2,1;23,0;;38,1;;;;144;;;;700,00;;4,70;5,14;490,30;11,48;1,50;;897;;;;;;;;;;0,00;0,00;0,00;;;0,80;;;;;;;;;;;;;;;;;;;;;0,00;;0,01;0,01;0,11;0,01;0,05;0,00;;0,00;;;;0,00;;0,06;0,00;;0,18;;;0,04;;0,04;;;;;;;;0,04;;0,05;;;;0,00;;;0,00;0,25;;;;;0,01;;0,12;;;;0,20;0,32;0,48;;;1,00;0,44;0,04;129;3,14;909;1693;1537;564;251;784;721;909;220;941;1631;376;1317;2132;3073;1286;847;1004;;;7934;12262;;;70,3;;;;;;;;72,0;6,25;0,770;;;76;Skaldyr og produkter heraf;Shellfish and their products
Koncentreret læskedrik, tilsat sukker og kunstig sødestof, fortyndes 1+7;Concentrated soft drink, not carbonated, sugar and artificial sweetener added, dilution 1+7;1903;1903;438;395;103;93;0,0;;0,0;25,8;25,8;23,2;0,0;0,0;0,0;0,0;0,3;26,0;74,0;0,0;0,0;0,0;;0,00;;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,00;0,00;;0,00;0,09;0,09;0,00;0,03;0,88;1;;0,00;26,88;26,50;0,38;11,6;107,0;7,9;3,8;;0,2;0,0;0,0;0,0;;;;0,0;;;;5;;;;0,38;;;;;;;;136;10,60;0,00;10,10;20,70;0,00;0,00;2,51;2,51;;23,21;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,0;6,25;;1,107;2,7;106;Andre drikkevarer;Other beverages
Kalvekød, helt magert, råt;Veal, lean meat, raw;699;699;389;389;92;92;18,1;17,0;18,1;0,0;0,0;0,0;0,0;2,2;0,0;0,1;1,1;21,4;78,6;0,0;0,0;0,0;;0,20;0,20;;;;0,15;0,15;;;;;0,00;;;;;;;;;0,0;0,08;;0,15;9,74;6,00;0,41;1,06;0,00;7;3;1,30;1,00;1,00;;55,0;370,0;7,6;20,0;;1,5;0,1;3,4;0,0;5,2;0,0;;3,0;;;;181;;;;1,70;;0,90;0,10;0,34;1,40;2,00;;635;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;0,06;0,02;0,54;0,02;0,26;;;;;;;0,03;0,00;0,13;0,02;;0,84;;;0,00;;;;;;;;;;0,04;;0,02;;;;0,00;;;0,02;0,00;;;;;0,00;;;;;;0,91;1,03;0,09;;;2,02;0,02;0,06;59;3,46;1037;1624;1693;518;173;829;726;864;225;1071;1348;691;1244;1935;2903;1106;933;864;;;8554;11232;;;120;;;;;;;;5,0;6,25;0,920;;;59;Kalvekød;Veal
Majs, kerner, konserves;Sweetcorn, kernels, canned;1164;1164;428;386;101;92;3,1;2,6;3,1;21,0;18,5;16,1;2,5;1,1;0,0;0,8;1,0;26,2;73,8;3,7;0,0;22,0;;0,00;0,00;;;;0,50;0,50;;;;;0,00;;;;;;;;;0,0;0,05;;0,08;1,53;1,20;0,20;0,22;0,50;32;9;0,00;5,00;5,00;;310,0;200,0;2,9;23,0;;0,6;0,1;0,6;;;;;0,2;;;;62;;;;0,50;;4,10;;;;;;598;0,10;;0,60;0,70;;;8,20;8,20;;8,90;7,32;7,32;;;7,20;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,14;0,00;0,02;0,00;;0,00;;;;0,00;0,00;0,00;0,00;;0,31;;;0,00;;0,00;;;;;;;;0,52;;0,02;;;;0,00;;;0,00;0,00;;;;;0,00;;0,00;;;;0,17;0,31;0,53;;;1,01;0,02;0,52;0;0,49;113;387;83;59;49;157;118;113;20;147;127;83;230;196;632;113;274;157;;;1160;1895;;0,003;29,1;;;;;;;0,003;15,2;6,25;0,920;;;46;Grøntsagskonserves;Canned vegetable products
Nyre, okse, rå;Kidney, ox, raw;569;569;447;384;106;91;15,6;11,1;15,6;4,6;4,6;0,9;0,0;2,8;0,0;0,5;1,1;24,1;75,9;87,0;87,0;0,0;;1,00;1,00;;;;0,20;0,20;;;;;0,00;;;;;;;;;0,0;0,44;;1,90;9,56;6,40;0,43;3,85;24,00;80;63;31,00;15,00;15,00;;195,0;210,0;9,5;15,0;;6,9;0,4;1,7;0,1;4,1;;;122,7;;;;229;;;;4,20;;3,12;0,60;5,00;46,10;4,60;;665;;;;;;;;;;0,00;0,00;0,00;;;0,90;;;;;;;;;;;;;;;;;;;;;;;0,06;0,02;0,53;0,02;0,57;;;;;;;;;0,04;0,03;;0,66;;;0,00;;;;;;;;;;0,10;;0,01;;;;0,00;;;0,06;0,00;;;;;0,00;;;;;;1,20;0,73;0,17;;;2,10;0,01;0,16;411;2,50;624;1223;1148;324;190;649;574;649;190;899;973;374;903;55;1722;998;749;749;;;6390;8690;;;513;;;;;;;;13,3;6,25;0,750;;;66;Indmad og andre organer;Offal and other organs
Ispind, limonade;Ice, popsickle, lemonade;934;934;370;383;88;91;0,5;;0,5;16,9;16,9;17,7;0,0;2,0;0,0;0,1;0,1;19,5;80,5;0,5;;;;0,00;;;;;0,00;;;;;;;;;;;;;;;;0,01;;0,00;0,00;0,00;0,00;;;1;;0,00;6,60;;;47,0;18,0;0,0;5,5;;0,0;;0,0;;;;;0,0;;;;2;;;;1,20;;;;;;;;73;;;;;;;;;;17,70;15,90;16,90;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,83;0,24;0,14;;;1,86;0,03;0,11;;0,08;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0,0;6,25;0,930;;;23;Sorbet og limonadeis;Sorbet and ice lolly
Bomuldsfrøolie;Oil, cotton seed;1345;1345;3700;3700;900;900;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;;0,00;0,00;;;;35,30;35,30;;38,70;0,00;0,0;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;;;0,0;;;;0;;;;0,00;;0,00;;;;;;0;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,80;;22,75;;2,30;;;;;;;;;0,80;;;17,04;;;0,00;;0,00;;;;;;;;51,61;;0,20;;0,00;;;;;0,10;0,00;;;;;0,00;;0,00;;;;25,85;17,84;51,91;;;95,60;0,20;51,71;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;0,2;;;;;;;;0,0;6,25;0,956;0,920;;94;Vegetabilske fedtstoffer;Vegetable fats
Majskimolie;Oil, corn germ;1333;1333;3700;3700;900;900;0,0;;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;;0,00;0,00;;;;11,20;11,20;;60,20;1,80;0,0;60,00;;;;;;;;;60,0;0,00;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;;0,0;0,0;0,0;;;0,0;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;0,00;;;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95,60;;;0;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;6,25;0,956;0,920;;94;Vegetabilske fedtstoffer;Vegetable fats
Vindruekerneolie;Oil, grapeseed;1429;1429;3700;3700;900;900;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;;0,00;0,00;;;;28,80;28,80;;;;;;;;;;;;;;;0,00;;0,00;0,00;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0,0;0,0;0,0;0,0;;0,0;;0,0;;3,3;;;0,0;;;;0;;;;0,00;;1,90;;;0,00;0,00;;0;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;6,16;0,00;3,47;0,04;;0,00;;0,00;;0,00;;0,00;;0,00;18,20;;;0,00;;0,00;0,00;0,00;;;;;;67,25;;0,48;;0,00;0,00;0,00;0,00;;;0,00;;;;;0,00;;0,00;;;0,00;9,67;18,20;67,73;;;95,60;0,48;67,25;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;;;;;;;0,0;6,25;0,956;0,920;;94;Vegetabilske fedtstoffer;Vegetable fats
Hvedekimolie;Wheat germ oil;1335;1335;3700;3700;900;900;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;;0,00;0,00;;;;149,40;149,40;;26,00;27,10;2,6;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0,0;0,0;0,0;0,0;;0,0;;0,0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,08;;14,44;;0,43;;;;;;;;;0,43;;;12,71;;;0,00;;0,00;;;;;;;;47,60;;6,00;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;14,95;13,14;53,61;;;81,70;6,00;47,60;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;20;;;;;;;;0,0;6,25;0,817;0,920;;94;Vegetabilske fedtstoffer;Vegetable fats
Tidselolie;Thistle oil;1323;1323;3700;3700;900;900;0,0;;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;;0,00;0,00;;;;38,70;38,70;;17,40;24,00;0,0;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0,0;0,0;0,0;0,0;;0,0;;0,0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;5,95;0,00;2,47;0,27;;0,00;;0,00;;0,00;;0,00;;0,00;12,01;;;0,09;;0,00;0,00;0,00;;;;;;74,39;;0,15;;0,00;0,00;0,00;0,26;;;0,00;;;;;0,00;;0,00;;;0,00;8,70;12,10;74,80;;;95,60;0,15;74,65;0;0,00;;;;;;;;;0;;;;;;;;;;;;0;;;;0,2;;;;;;;;0,0;6,25;0,956;0,920;;94;Vegetabilske fedtstoffer;Vegetable fats
Palmeolie;Oil, palm;1355;1355;3700;3700;900;900;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;;0,00;0,00;;;;19,10;19,10;;31,60;7,00;14,3;8,00;;;;;;;;;8,0;0,00;;0,00;0,00;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0,0;0,0;0,0;0,0;;0,0;;0,0;;;;;0,0;;;;0;;;;0,00;;;;;;;;0;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,10;;1,00;;43,68;;4,32;;;;;;;;;0,30;;;36,75;;;0,10;;0,00;;;;;;;;9,14;;0,20;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;49,11;37,16;9,34;;;95,60;0,20;9,14;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;0,3;;;;;;;;0,0;6,25;0,956;0,890;;94;Vegetabilske fedtstoffer;Vegetable fats
Kakaosmør;Oil, cocoa butter;1364;1364;3700;3700;900;900;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;;0,00;0,00;;;;1,80;1,80;;18,10;;;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0;;0,00;0,00;0,00;;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;;;0,0;;;;0;;;;0,00;;0,00;;;;;;0;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,10;;25,72;;33,62;;;;;;;;;0,20;;;33,01;;;0,00;;0,00;;;;;;;;2,84;;0,10;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;59,45;33,22;2,94;;;95,60;0,10;2,84;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;0,3;;;;;;;;0,0;6,25;0,956;;;94;Vegetabilske fedtstoffer;Vegetable fats
Palmekerneolie;Palm kernel oil;1377;1377;3700;3700;900;900;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;;0,00;0,00;;;;25,60;25,60;;31,60;7,00;14,3;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0,0;0,0;0,0;0,0;;0,0;;0,0;;;;;0,0;;;;0;;;;0,00;;;;;;;;0;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;0,00;;;;;;;;;;;0,00;0,20;3,30;3,70;47,00;;16,40;;8,10;;2,80;;;;;;;;;0,00;;;11,40;;;0,00;;0,00;;;;;;;;1,60;;0,00;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;81,50;11,40;1,60;;;94,50;0,00;1,60;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;0,2;;;;;;;;0,0;6,25;0,945;0,890;;94;Vegetabilske fedtstoffer;Vegetable fats
Jordnøddeolie;Peanut oil;1380;1380;3700;3700;900;900;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;;0,00;0,00;;;;13,00;13,00;;15,00;;;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0,0;0,0;0,0;0,0;;0,0;;0,0;;;;;0,0;;;;0;;;;0,00;;;;;;;;0;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;9,71;0,00;2,95;1,24;;2,57;;1,55;;0,00;;0,07;;0,00;43,25;;;0,97;;0,00;0,00;0,00;;;;;;32,50;;0,15;;0,00;0,00;0,00;0,00;;;0,00;;;;;0,00;;0,10;;;0,05;18,02;44,28;32,75;;;95,10;0,24;32,50;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;0,1;;;;;;;;0,0;6,25;0,951;0,920;;94;Vegetabilske fedtstoffer;Vegetable fats
Torsk, levertran;Cod liver oil;1396;1396;3700;3700;900;900;0,0;;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;30000,0;30000,0;0,0;;250,00;250,00;;;;30,00;30,00;;;;;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0,00;0,00;0,00;;0,0;0,0;1,2;0,1;;0,1;0,0;0,1;0,0;;;;0,0;;;;0;;;;400,00;;;;;;;;1;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;0,00;0,00;0,00;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;3,45;;12,33;0,00;2,56;0,19;;0,28;;0,25;;0,15;;9,53;;0,00;29,42;;;0,83;;0,00;0,20;0,67;;;;;;3,72;;2,79;;2,57;0,67;0,30;0,00;;;11,09;;;;;0,83;;11,95;;;1,83;19,06;40,79;33,92;;;95,60;29,52;4,39;450;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;6,25;0,956;0,928;;93;Animalske fedtstoffer;Animal fats
Solsikkeolie;Sunflower oil;1382;1382;3700;3700;900;900;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;4,3;0,0;26,0;;0,00;0,00;;;;55,00;55,00;;;;;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0,00;0,00;0,00;;0,0;0,0;0,0;0,0;;0,0;;0,0;;3,8;;;0,0;;;;0;;;;0,00;;4,60;;;0,00;0,00;;0;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;0,00;0,00;0,00;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;5,50;0,00;3,80;0,24;;0,61;;0,00;;0,00;;0,00;;0,00;22,03;;;0,00;;0,00;0,00;0,00;;;;;;62,98;;0,00;;0,00;0,00;0,00;0,00;;;0,00;;;;;0,00;;0,00;;;0,43;10,16;22,03;62,98;;;95,60;0,00;62,98;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;0,2;;;;;;;;0,0;6,25;0,956;0,960;;94;Vegetabilske fedtstoffer;Vegetable fats
Sesamolie;Oil, sesame;1412;1412;3700;3700;900;900;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;;0,00;0,00;;;;1,40;1,40;;;;;;;;;;;;;;;0,00;;0,00;0,00;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0,0;0,0;0,0;0,0;;0,0;;0,0;;;;;0,0;;;;0;;;;0,00;;;;;;;;0;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;8,31;0,00;5,58;0,56;;0,00;;0,00;;0,00;;0,00;;0,00;41,59;;;0,00;;0,00;0,00;0,00;;;;;;39,16;;0,39;;0,00;0,00;0,00;0,00;;;0,00;;;;;0,00;;0,00;;;0,00;14,45;41,59;39,55;;;95,60;0,39;39,16;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;0,2;;;;;;;;0,0;6,25;0,956;0,923;;94;Vegetabilske fedtstoffer;Vegetable fats
Majsolie;Corn oil;1415;1415;3700;3700;900;900;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;;0,00;0,00;;;;12,00;12,00;;65,00;;;1,90;;;;;;;;;1,9;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0,00;0,00;0,00;;0,0;0,0;0,0;0,0;;0,0;;0,0;0,0;6,8;;;0,0;;;;0;;;;0,80;;5,50;;;0,40;3,70;;0;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;9,15;0,00;1,75;0,43;;0,00;;0,00;;0,00;;0,00;;0,00;27,38;;;0,05;;0,00;0,00;0,00;;;;;;55,23;;1,01;;0,00;0,00;0,00;0,00;;;0,00;;;;;0,00;;0,00;;;0,00;11,32;27,44;56,24;;;95,00;1,01;55,23;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;0,2;;;;;;;;0,0;6,25;0,950;0,924;;94;Vegetabilske fedtstoffer;Vegetable fats
Valnøddeolie;Walnut oil;1384;1384;3700;3700;900;900;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;;0,00;0,00;;;;0,40;0,40;;;;;0,00;;;;;;;;;0,0;0,00;;0,00;0,00;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0,0;0,0;0,0;0,0;;0,0;;0,0;;;;;0,0;;;;0;;;;0,00;;;;;;;;0;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;7,01;;2,00;;;;;;;;;0,10;;;22,25;;;0,40;;0,00;;;;;;;;53,01;;10,42;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;9,02;22,75;63,43;;;95,20;10,42;53,01;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;0,4;;;;;;;;0,0;6,25;0,952;0,920;;94;Vegetabilske fedtstoffer;Vegetable fats
