FødevareNavn;FoodName;FoodID;TaxonomicName;NCBI;FoodEx2Code;FoodEx2Description;FoodOntology;LangualCode;EurofirFoodClassificationCode;Nøglehulsmærket;FoodGroupID;FødevareGruppe;FoodGroup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quinoa, hvid, rå;Quinoa, white, raw;1724;Chenopodium quinoa (Willdenow, 1798);63459;A000R#F28.A07LC$F10.A0F2R;Quinoa grain, PROCESS = Removal of external layer, QUALITATIVE-INFO = White;FOODON_03310193;A0125,A0457,A0631,A0683,A0696,A0729,A0814,B2027,C0132,E0150,F0003,G0003,H0138,J0116,K0001,M0166,N0036,P0024;A0814;0;28;Korn og gryn;Grain and groats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quinoa, rød, rå;Quinoa, red, raw;1725;Chenopodium quinoa (Willdenow, 1798);63459;A000R#F28.A07LC$F10.A0F2S;Quinoa grain, PROCESS = Removal of external layer, QUALITATIVE-INFO = Red;FOODON_03310193;A0125,A0457,A0631,A0683,A0696,A0729,A0814,B2027,C0132,E0150,F0003,G0003,H0138,J0116,K0001,M0166,N0036,P0024;A0814;0;28;Korn og gryn;Grain and groats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quinoa, sort, rå;Quinoa, black, raw;1726;Chenopodium quinoa (Willdenow, 1798);63459;A000R#F28.A07LC$F10.A166Z;Quinoa grain, PROCESS = Removal of external layer, QUALITATIVE-INFO = Black;FOODON_03310193;A0125,A0457,A0631,A0683,A0696,A0729,A0814,B2027,C0132,E0150,F0003,G0003,H0138,J0116,K0001,M0166,N0036,P0024;A0814;0;28;Korn og gryn;Grain and groats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rugmel, uspec.;Rye flour, unspecified;1727;Secale cereale (Linnaeus, 1753);4550;A003J;Rye flour;FOODON_03302492;A0149,A0457,A0631,A0696,A0729,A0761,A0813,B1313,C0133,E0117,F0003,G0003,H0138,J0116,K0003,M0120,N0039,P0024;A0818;1;30;Mel og klid;Flour and bran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chiafrø;Chia seeds;1728;Salvia hispanica (Linnaeus, 1753);49212;A16FZ#F28.A07KG$F28.A07LC;Chia seeds, PROCESS = Drying (dehydration), PROCESS = Removal of external layer;FOODON_00002961;A0305,A0652,A0703,A0730,A0823,B1723,C0135,E0150,F0001,G0003,H0138,J0116,K0003,M0166,N0036,P0024;A0823;0;177;Fedtrige frø;High-fat seeds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Perlespelt;Pearled spelt;1729;Triticum spelta (Linnaeus, 1753);58933;A001R#F28.A0BZV$F28.A07KG;Spelt grain, PROCESS = Polishing, PROCESS = Drying (dehydration);FOODON_00003154;A0149,A0457,A0631,A0683,A0696,A0729,A0814,B2917,C0132,E0147,F0003,G0003,H0138,J0116,K0003,M0166,N0036,P0024;A0814;1;28;Korn og gryn;Grain and groats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Perlebyg;Pearled barley;1730;Hordeum vulgare (Linnaeus, 1753);4513;A002K#F28.A07KG;Barley grain, pearled, PROCESS = Drying (dehydration);FOODON_03306062;A0149,A0457,A0631,A0683,A0696,A0729,A0814,B1230,C0132,E0147,F0003,G0003,H0138,J0116,K0003,M0166,N0036,P0024;A0814;1;28;Korn og gryn;Grain and groats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flydende olie margarine;Oil margarine;1731;NULL;NULL;A039D#F03.A06JL$F07.A076D;Traditional margarine, PHYSICAL-STATE = Liquid, FAT-CONTENT = 82 % fat;FOODON_03304322;A0231,A0453,A0627,A0663,A0701,A0728,A0807,B1017,C0190,E0139,F0014,G0003,H0148,H0306,J0131,K0003,M0214,M0187,N0036,P0024,R0204;A0807;0;95;Margariner;Margarines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flydende olie margarine, beriget med A- og D-vitamin;Oil margarine, fortified with A- and D-vitamin;1732;NULL;NULL;A039D#F09.A0EXZ$F09.A0EXM$F03.A06JL$F07.A076C;Traditional margarine, FORTIFICATION-AGENT = Vitamin A     (retinol, carotenoids), FORTIFICATION-AGENT = Vitamin D (cholecalciferol, ergocalciferol), PHYSICAL-STATE = Liquid, FAT-CONTENT = 81 % fat;FOODON_03304322;A0231,A0453,A0627,A0663,A0701,A0728,A0807,B1017,C0190,E0139,F0014,G0003,H0148,H0306,H0316,H0214,J0131,K0003,M0214,M0187,N0036,P0024,R0204;A0807;1;95;Margariner;Margarines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plantemargarine, 80%, stege/bage, beriget med A- og D-vitamin;Plant margarine, 80%, fry/bake, enriched with A- and D-vitamin;1733;NULL;NULL;A039D#F09.A0EXZ$F09.A0EXM$F07.A076B;Traditional margarine, FORTIFICATION-AGENT = Vitamin A     (retinol, carotenoids), FORTIFICATION-AGENT = Vitamin D (cholecalciferol, ergocalciferol), FAT-CONTENT = 80 % fat;FOODON_03315622;A0231,A0453,A0627,A0663,A0701,A0728,A0807,B1017,C0190,E0119,F0014,G0003,H0148,H0306,H0316,H0214,J0131,K0003,M0346,N0015,P0024,R0204;A0807;0;95;Margariner;Margarines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plantemargarine, 80%, stege/bage, beriget med A-vitamin;Plant margarine, 80%, fry/bake, enriched with A-vitamin;1734;NULL;NULL;A039D#F09.A0EXZ$F07.A076B;Traditional margarine, FORTIFICATION-AGENT = Vitamin A     (retinol, carotenoids), FAT-CONTENT = 80 % fat;FOODON_03315622;A0231,A0453,A0627,A0663,A0701,A0728,A0807,B1017,C0190,E0119,F0014,G0003,H0148,H0306,H0316,J0131,K0003,M0346,N0015,P0024,R0204;A0807;0;95;Margariner;Margarines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plantemargarine, 75%, stege/bage, beriget med A-vitamin;Plant margarine, 75%, fry/bake, fortified with A-vitamin;1735;NULL;NULL;A039D#F09.A0EXZ$F07.A075V;Traditional margarine, FORTIFICATION-AGENT = Vitamin A     (retinol, carotenoids), FAT-CONTENT = 75 % fat;FOODON_03315622;A0231,A0453,A0627,A0663,A0701,A0728,A0807,B1017,C0190,E0119,F0014,G0003,H0148,H0306,H0316,J0131,K0003,M0346,N0015,P0024,R0204;A0807;0;95;Margariner;Margarines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plantemargarine, 60%, bordbrug, blød, beriget med A-vitamin;Plant margarine, 60%, table use, soft, enriched with A-vitamin;1736;NULL;NULL;A039D#F09.A0EXZ$F07.A075D;Traditional margarine, FORTIFICATION-AGENT = Vitamin A     (retinol, carotenoids), FAT-CONTENT = 60 % fat;FOODON_03301672;A0231,A0453,A0627,A0663,A0701,A0728,A0807,B1017,C0190,E0119,F0014,G0003,H0148,H0306,H0316,J0131,K0003,M0187,N0036,P0024,R0204;A0807;1;95;Margariner;Margarines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minarine, 40%, bordbrug, blød, beriget med A- og D-vitamin;Plant margarine, 40%, table use, soft, enriched with A- and D-vitamin;1737;NULL;NULL;A039E#F09.A0EXZ$F09.A0EXM$F10.A0CRG$F10.A0CJQ$F07.A074F;Blended margarine, FORTIFICATION-AGENT = Vitamin A     (retinol, carotenoids), FORTIFICATION-AGENT = Vitamin D (cholecalciferol, ergocalciferol), QUALITATIVE-INFO = Light, QUALITATIVE-INFO = Soft, FAT-CONTENT = 40 % fat;FOODON_03315519;A0231,A0453,A0627,A0663,A0701,A0728,A0807,B1017,C0190,E0119,F0014,G0003,H0148,H0306,H0316,H0214,J0131,K0003,M0187,N0036,P0024,R0204;A0807;1;95;Margariner;Margarines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oksekød, hakket, 8-12% fedt, rå;Beef, mince, 8-12% fat, raw;1739;Bos taurus (Linnaeus, 1758);9913;A049S#F07.A072X;Bovine, minced meat, FAT-CONTENT = 10 % fat;FOODON_03301886;NULL;A0794;0;58;Oksekød;Beef;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kyllingekød, hakket, 3-10% fedt, rå;Chicken, mince, 3-10% fat, raw;1740;Gallus gallus domesticus (Linnaeus, 1758);9031;A04DS#F07.A071V;Chicken, minced meat, FAT-CONTENT = 7.7 % fat;FOODON_03311826;NULL;A0795;1;81;Høns og kylling;Chicken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Babyspinat, rå;Baby spinach, raw;1741;Spinacia oleracea (Linnaeus, 1753);3562;A0DKK#F20.A07RP;Baby leaf spinaches, PART-CONSUMED-ANALYSED = W/o roots;FOODON_00002977;NULL;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salat, hjerte, rå;Salad, romaine, raw;1743;Lactuca sativa var. longifolia (Linnaeus, 1753) (Lamarck, 1792);1759395;A00LC#F20.A07RP;Romaines, PART-CONSUMED-ANALYSED = W/o roots;FOODON_03306127;NULL;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Græskar, hokkaido, dansk, rå;Squash, red kuri, Danish, raw;1744;Cucurbita maxima (Duchesne, 1768) ssp. maxima convar. Maxima;1979246;A0DLR#F20.A07QF$F20.A07RD;Winter squashes, PART-CONSUMED-ANALYSED = W/o peel, PART-CONSUMED-ANALYSED = W/o seeds;FOODON_00003946;NULL;A0826;1;41;Frugt-grøntsager;Fruit -Vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Græskar, butternut squash, rå;Butternut squash, raw;1745;Cucurbita moschata (Duchesne, 1786) ex Poir.;3662;A0DLT#F20.A07QF$F20.A07RD;Butternut squashes, PART-CONSUMED-ANALYSED = W/o peel, PART-CONSUMED-ANALYSED = W/o seeds;FOODON_00003946;NULL;A0826;1;41;Frugt-grøntsager;Fruit -Vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energi drik, Red Bull;Energydrink, Red Bull;1746;NULL;NULL;A03GA#F09.A0EXV$F09.A0EXT$F09.A0EXS$F09.A0EXP$F09.A0EVK$F09.A16GT;Energy drinks, FORTIFICATION-AGENT = Vitamin B3   (niacin, niacinamide), FORTIFICATION-AGENT = Vitamin B5   (pantothenic acid), FORTIFICATION-AGENT = Vitamin B6   (pyridoxine, pyridoxamine, pyridoxal), FORTIFICATION-AGENT = Vitamin B12 (cyanocobalamin, hydroxocobalamin, methylcobalamin), FORTIFICATION-AGENT = Caffeine, FORTIFICATION-AGENT = Taurine;FOODON_00003189;NULL;A0843;0;106;Andre drikkevarer;Other beverages;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valle protein pulver;Whey protein powder;1747;Bos taurus (Linnaeus, 1758);9913;A02PS#F28.A07KG$F03.A06JD;Whey protein, PROCESS = Drying (dehydration), PHYSICAL-STATE = Powder;FOODON_03315715;NULL;A0781;0;8;Mælkekonserves og andre mælkeprodukter;Preserved milk and other milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Riskiks/riskage, poppede brune ris;Rice cake/cracker, puffed brown rice, plain;1748;NULL;NULL;A005Y#F04.A00DR;Crackers and breadsticks, INGREDIENT = Rice, popped;FOODON_03309985;NULL;A0814;0;32;Kiks og småkager;Biscuits and cookies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spinat, helbladet, dybfrost;Spinach, whole leaf, frozen;1749;Spinacia oleracea (Linnaeus, 1753);3562;A00MJ#F28.A07KQ$F28.A07GF$F20.A07RP;Spinaches, PROCESS = Freezing, PROCESS = Blanching, PART-CONSUMED-ANALYSED = W/o roots;FOODON_03301376;NULL;A0826;1;192;Frosne grøntsager;Frozen vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rødkål, dansk, rå;Cabbage, red, Danish, raw;1750;Brassica oleracea (Linnaeus, 1753) convar. capitata L. var. Rubra;3716;A00GA#F20.A07RK$F20.A07RP$F20.A07QH;Red cabbages, PART-CONSUMED-ANALYSED = W/o decayed leaves, PART-CONSUMED-ANALYSED = W/o roots, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03304685;NULL;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spidskål, dansk, rå;Cabbage, pointed, Danish, raw;1751;Brassica oleracea (Linnaeus, 1753) cultivar Capitata var. conica;3716;A00FZ#F20.A07RK$F20.A07RP;Pointed head cabbages, PART-CONSUMED-ANALYSED = W/o decayed leaves, PART-CONSUMED-ANALYSED = W/o roots;FOODON_03401466;NULL;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pastinak, dansk, rå;Parsnip, Danish, raw;1752;Pastinaca sativa (Linnaeus, 1753);4041;A00QR#F20.A07QF$F20.A07RM;Parsnip roots, PART-CONSUMED-ANALYSED = W/o peel, PART-CONSUMED-ANALYSED = W/o tops;FOODON_03307242;NULL;A0826;1;39;Rod- og knoldgrøntsager;Root and tuber vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kalvekød, cuvette, rå;Veal, top round, raw;1753;Bos taurus (Linnaeus, 1758);9913;A01QY#F20.A07QM$F20.A07QR;Calf fresh meat, PART-CONSUMED-ANALYSED = W/o bone, PART-CONSUMED-ANALYSED = W/o skin;FOODON_03301771;NULL;A0794;0;59;Kalvekød;Veal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kalvekød, inderlår, afpudset, rå;Veal, topside, trimmed, raw;1754;Bos taurus (Linnaeus, 1758);9913;A01QY#F07.A06ZF$F20.A07QM$F20.A07QR$F20.A0F4V;Calf fresh meat, FAT-CONTENT = 2 % fat, PART-CONSUMED-ANALYSED = W/o bone, PART-CONSUMED-ANALYSED = W/o skin, PART-CONSUMED-ANALYSED = Excluding visible fat;FOODON_03301771;NULL;A0794;1;59;Kalvekød;Veal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kalvekød, tykstegsfilet, rå;Veal, heart of rump, trimmed, raw;1755;Bos taurus (Linnaeus, 1758);9913;A01QY#F03.A06HZ$F07.A06ZE$F20.A07QM$F20.A07QR;Calf fresh meat, PHYSICAL-STATE = Primal cuts / fillets / halves or quarters, FAT-CONTENT = 1.9 % fat, PART-CONSUMED-ANALYSED = W/o bone, PART-CONSUMED-ANALYSED = W/o skin;FOODON_03301771;NULL;A0794;1;59;Kalvekød;Veal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kalvekød, tyndstegsfilet, rå;Veal, shortloin, raw;1756;Bos taurus (Linnaeus, 1758);9913;A01QY#F03.A06HZ$F07.A072B$F20.A07QM$F20.A07QR;Calf fresh meat, PHYSICAL-STATE = Primal cuts / fillets / halves or quarters, FAT-CONTENT = 8.2 % fat, PART-CONSUMED-ANALYSED = W/o bone, PART-CONSUMED-ANALYSED = W/o skin;FOODON_03301771;NULL;A0794;1;59;Kalvekød;Veal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oksekød, cuvette, rå;Beef, bottom round, raw;1758;Bos taurus (Linnaeus, 1758);9913;A01QX#F20.A07QM$F20.A07QR;Cow, ox or bull fresh meat, PART-CONSUMED-ANALYSED = W/o bone, PART-CONSUMED-ANALYSED = W/o skin;FOODON_03310680;NULL;A0794;0;58;Oksekød;Beef;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oksekød, flanksteak, rå;Beef, flank steak, raw;1759;Bos taurus (Linnaeus, 1758);9913;A01QX#F03.A06JA$F20.A07QM$F20.A07QR;Cow, ox or bull fresh meat, PHYSICAL-STATE = Slices, steaks or other flat cuts, PART-CONSUMED-ANALYSED = W/o bone, PART-CONSUMED-ANALYSED = W/o skin;FOODON_03530022;NULL;A0794;1;58;Oksekød;Beef;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gulerødder, importeret, uden skræl, rå;Carrots, imported, without peel, raw;1760;Daucus carota (Linnaeus, 1753) subsp. sativus (Hoffmann, 1791) (Schübler & G. Martens, 1834);79200;A00QH#F20.A07QF$F20.A07RM;Carrots, PART-CONSUMED-ANALYSED = W/o peel, PART-CONSUMED-ANALYSED = W/o tops;FOODON_03311673;NULL;A0826;1;39;Rod- og knoldgrøntsager;Root and tuber vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gulerødder, dansk, uden skræl, rå;Carrots, Danish, without peel, raw;1761;Daucus carota (Linnaeus, 1753) subsp. sativus (Hoffmann, 1791) (Schübler & G. Martens, 1834);79200;A00QH#F20.A07QF$F20.A07RM;Carrots, PART-CONSUMED-ANALYSED = W/o peel, PART-CONSUMED-ANALYSED = W/o tops;FOODON_03311673;NULL;A0826;1;39;Rod- og knoldgrøntsager;Root and tuber vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pastinak, importeret, rå;Parsnips, imported, raw;1762;Pastinaca sativa (Linnaeus, 1753);4041;A00QR#F20.A07QF$F20.A07RM;Parsnip roots, PART-CONSUMED-ANALYSED = W/o peel, PART-CONSUMED-ANALYSED = W/o tops;FOODON_03307242;NULL;A0826;1;39;Rod- og knoldgrøntsager;Root and tuber vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selleri, rod, importeret, rå;Celery, root, imported, raw;1763;Apium graveolens var. rapaceum (Linnaeus, 1753);278110;A00QJ#F20.A07QF$F20.A07RM$F20.A07QH;Celeriacs, PART-CONSUMED-ANALYSED = W/o peel, PART-CONSUMED-ANALYSED = W/o tops, PART-CONSUMED-ANALYSED = W/o stem;FOODON_00004131;NULL;A0826;1;39;Rod- og knoldgrøntsager;Root and tuber vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flødeyoghurt naturel, 10% fedt (Græsk og Tyrkisk stil);Cream yoghurt, plain, 10% fat (Greek and Turkish style);1764;Bos taurus (Linnaeus, 1758);9913;A16GH#F07.A072X;Strained yoghurt, FAT-CONTENT = 10 % fat;FOODON_03301502;NULL;A0783;0;5;Syrnede mælkeprodukter;Fermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flødeyoghurt naturel, 2% fedt (Græsk og Tyrkisk stil);Cream yoghurt, plain, 2% fat (Greek and Turkish style);1765;Bos taurus (Linnaeus, 1758);9913;A16GH#F07.A06ZF;Strained yoghurt, FAT-CONTENT = 2 % fat;FOODON_03307444;NULL;A0783;0;5;Syrnede mælkeprodukter;Fermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A38, acidophilus tykmælk af letmælk, 1,5% fedt;Milk, acidophilus cultured from partly skimmed milk, 1.5% fat;1766;Bos taurus (Linnaeus, 1758);9913;A02NS#F03.A0CEE$F07.A06ZA;Acidophilus milk, PHYSICAL-STATE = Spoonable creamy, FAT-CONTENT = 1.5 % fat;FOODON_03305998;NULL;A0783;1;5;Syrnede mælkeprodukter;Fermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A38, acidophilus tykmælk af minimælk, 0,5% fedt;Milk, acidophilus cultured from skimmed milk, 0.5% fat;1767;Bos taurus (Linnaeus, 1758);9913;A02NS#F03.A0CEE$F07.A06YN;Acidophilus milk, PHYSICAL-STATE = Spoonable creamy, FAT-CONTENT = 0.5 % fat;FOODON_03307444;NULL;A0783;1;5;Syrnede mælkeprodukter;Fermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pizza topping (Revet ost, Mozzarella);Pizza topping (Grated cheese, Mozzarella);1768;Bos taurus (Linnaeus, 1758);9913;A16XN#F28.A07KZ;Mozzarella cheese (specific for pizza), PROCESS = Grating;FOODON_00001127;NULL;A0787;0;13;Fast løbeost;Firm rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skinkeost 30+ (Smelteost med skinke);Skinkeost 30+ (Processed cheese with ham);1769;NULL;NULL;A031C#F04.A022T$F07.A073E;Processed cheese, spreadable, INGREDIENT = Ham, pork, FAT-CONTENT = 17 % fat;FOODON_03303530;NULL;A0787;0;17;Smelteost;Processed cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rejeost, let, 8% fedt, (Smelteost med rejer);Rejeost, light, 8% fat, (Processed cheese with shrimp);1770;NULL;NULL;A031C#F04.A02GB$F10.A0CRG$F07.A071K;Processed cheese, spreadable, INGREDIENT = Shrimps, common, QUALITATIVE-INFO = Light, FAT-CONTENT = 6.8 % fat;FOODON_03303530;NULL;A0787;0;17;Smelteost;Processed cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feta, 5% (Salat-tern);Feta, 5% (Salad cheese);1771;Bos taurus (Linnaeus, 1758);9913;A02RC#F06.A06XV$F03.A06JB$F07.A072M;Cheese, feta, SURROUNDING-MEDIUM = In acidified salt brine, PHYSICAL-STATE = Dices / sticks, FAT-CONTENT = 9.2 % fat;FOODON_03302914;A0168,A0452,A0626,A0720,A0724,A0775,A0785,B1201,C0245,E0151,F0001,G0003,H0107,J0131,K0022,M0001,N0001,P0024,Z0001,H0367;A0785;0;15;Halvfast løbeost;Semi-firm rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flødeost, 30-40+;Cheese, Cream, 30-40 % fidm.;1772;Bos taurus (Linnaeus, 1758);9913;A02QZ#F07.A072X;Cream cheese, FAT-CONTENT = 10 % fat;FOODON_03301889;NULL;A0786;0;14;Blød løbeost;Soft rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flødeost, 45-55+;Cheese, Cream, 45-55 % fidm.;1773;Bos taurus (Linnaeus, 1758);9913;A02QZ#F07.A073N;Cream cheese, FAT-CONTENT = 25 % fat;FOODON_03301889;NULL;A0786;0;14;Blød løbeost;Soft rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brie, 11%;Cheese, Brie, 11%;1774;Bos taurus (Linnaeus, 1758);9913;A02RV#F07.A072F;Cheese, brie, FAT-CONTENT = 8.6 % fat;FOODON_00001028;NULL;A0785;1;14;Blød løbeost;Soft rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gedeost, blød, 45-55+;Goat cheese, soft, 45-55% fidm.;1775;Capra hircus (Linnaeus, 1758);9925;A02SN#F27.A02MB$F07.A073P;Soft-ripened cheese with natural rind and other soft-ripened cheeses, SOURCE-COMMODITIES = Goat milk, FAT-CONTENT = 26 % fat;FOODON_03303655;NULL;A0786;0;14;Blød løbeost;Soft rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gedeost, i saltlage, 20-25%;Goat cheese, in brine, 20-25%;1776;Capra hircus (Linnaeus, 1758);9925;A02RB#F27.A02MB$F06.A06XT$F21.A07SE$F07.A073L;Soft brined cheese (feta type), SOURCE-COMMODITIES = Goat milk, SURROUNDING-MEDIUM = In salt brine, PRODUCTION-METHOD = Organic production, FAT-CONTENT = 23 % fat;FOODON_03303655;NULL;A0785;0;15;Halvfast løbeost;Semi-firm rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gedeost, fast, 45+;Goat cheese, hard, 45% fidm.;1777;Capra hircus (Linnaeus, 1758);9925;A02SV#F27.A02MB$F21.A07SE$F07.A073V;Firm/semi-hard cheese (gouda and edam type), SOURCE-COMMODITIES = Goat milk, PRODUCTION-METHOD = Organic production, FAT-CONTENT = 31 % fat;FOODON_03303655;NULL;A0785;0;13;Fast løbeost;Firm rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skæreost, 6%/10+;Cheese, firm, 6%/10% fidm.;1778;Bos taurus (Linnaeus, 1758);9913;A02SV#F07.A071F;Firm/semi-hard cheese (gouda and edam type), FAT-CONTENT = 6.4 % fat;FOODON_00002230;NULL;A0785;0;13;Fast løbeost;Firm rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ost, fast, 45+, Dansk;Cheese, firm, 45% fidm., Danish;1779;Bos taurus (Linnaeus, 1758);9913;A02SV#F07.A073N;Firm/semi-hard cheese (gouda and edam type), FAT-CONTENT = 25 % fat;FOODON_03310930;NULL;A0785;0;13;Fast løbeost;Firm rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
